"Name","Country","Region","Timezone","Rank","Latitude","Longitude","Weather Text","Is Day Time","Temperature Celsius","Temperature Fahrenheit","Last Updated At"
"Dhaka","Bangladesh","Asia","Asia/Dhaka","10","23.71","90.407","Partly cloudy","false","30","86","2025-04-27T21:12:00+06:00"
"Kinshasa","Democratic Republic of the Congo","Africa","Africa/Kinshasa","10","-4.316","15.298","Mostly cloudy","true","30.2","86","2025-04-27T16:20:00+01:00"
"Santiago","Chile","South America","America/Santiago","10","-33.446","-70.659","Sunny","true","17.1","63","2025-04-27T11:20:00-04:00"
"Beijing","China","Asia","Asia/Shanghai","10","39.917","116.407","Clear","false","12.2","54","2025-04-27T23:18:00+08:00"
"Bogota","Colombia","South America","America/Bogota","10","4.628","-74.077","Mostly cloudy","true","18.9","66","2025-04-27T10:20:00-05:00"
"Berlin","Germany","Europe","Europe/Berlin","10","52.518","13.406","Sunny","true","19.4","67","2025-04-27T17:21:00+02:00"
"Cairo","Egypt","Africa","Africa/Cairo","10","30.084","31.255","Sunny","true","30","86","2025-04-27T18:11:00+03:00"
"Madrid","Spain","Europe","Europe/Madrid","10","40.41","-3.686","Mostly sunny","true","20.7","69","2025-04-27T17:27:00+02:00"
"London","United Kingdom","Europe","Europe/London","10","51.514","-0.107","Mostly cloudy","true","20.9","70","2025-04-27T16:21:00+01:00"
"Athens","Greece","Europe","Europe/Athens","10","37.984","23.728","Mostly sunny","true","20","68","2025-04-27T18:21:00+03:00"
"Hong Kong","Hong Kong","Asia","Asia/Hong_Kong","10","22.369","114.174","Overcast","false","25.5","78","2025-04-27T23:18:00+08:00"
"Jakarta","Indonesia","Asia","Asia/Jakarta","10","-6.175","106.827","Partly cloudy","false","26.8","80","2025-04-27T22:20:00+07:00"
"Baghdad","Iraq","Middle East","Asia/Baghdad","10","33.328","44.386","Mostly cloudy","true","32.2","90","2025-04-27T18:21:00+03:00"
"Tokyo","Japan","Asia","Asia/Tokyo","10","35.683","139.809","Clear","false","19.7","67","2025-04-28T00:17:00+09:00"
"Seoul","South Korea","Asia","Asia/Seoul","10","37.537","126.97","Partly cloudy","false","13.7","57","2025-04-28T00:21:00+09:00"
"Mexico City","Mexico","North America","America/Mexico_City","10","19.433","-99.133","Sunny","true","18.9","66","2025-04-27T09:20:00-06:00"
"Lima","Peru","South America","America/Lima","10","-12.082","-77.045","Mostly sunny","true","20.5","69","2025-04-27T10:20:00-05:00"
"Moscow","Russia","Asia","Europe/Moscow","10","55.752","37.619","Partly sunny","true","2.8","37","2025-04-27T18:27:00+03:00"
"Riyadh","Saudi Arabia","Middle East","Asia/Riyadh","10","24.64","46.753","Hazy sunshine","true","35.8","96","2025-04-27T18:17:00+03:00"
"Singapore","Singapore","Asia","Asia/Singapore","10","1.311","103.843","Some clouds","false","28.9","84","2025-04-27T23:20:00+08:00"
"Bangkok","Thailand","Asia","Asia/Bangkok","10","13.731","100.521","Mostly cloudy","false","29.7","86","2025-04-27T22:12:00+07:00"
"Hanoi","Vietnam","Asia","Asia/Ho_Chi_Minh","10","20.999","105.7","Mostly cloudy","false","26.5","80","2025-04-27T22:07:00+07:00"
"Sydney","Australia","Oceania","Australia/Sydney","11","-33.87","151.209","Cloudy","false","19.1","66","2025-04-28T01:20:00+10:00"
"Shanghai","China","Asia","Asia/Shanghai","11","31.232","121.444","Overcast","false","18.9","66","2025-04-27T23:18:00+08:00"
"Delhi","India","Asia","Asia/Kolkata","11","28.643","77.118","Hazy clouds","false","35.5","96","2025-04-27T20:47:00+05:30"
"Bengaluru","India","Asia","Asia/Kolkata","11","12.991","77.579","Mostly clear","false","30.3","87","2025-04-27T20:47:00+05:30"
"Mumbai","India","Asia","Asia/Kolkata","11","19.143","72.878","Clear","false","32.4","90","2025-04-27T20:51:00+05:30"
"Kolkata","India","Asia","Asia/Kolkata","11","22.526","88.353","Partly cloudy","false","30.6","87","2025-04-27T20:42:00+05:30"
"Karachi","Pakistan","Asia","Asia/Karachi","11","24.89","67.029","Clear","false","31.1","88","2025-04-27T20:27:00+05:00"
"Istanbul","Türkiye","Middle East","Europe/Istanbul","11","41.011","28.958","Mostly sunny","true","12.3","54","2025-04-27T18:17:00+03:00"
"Los Angeles","United States","North America","America/Los_Angeles","15","34.052","-118.244","Mostly sunny","true","12.1","54","2025-04-27T08:17:00-07:00"
"New York","United States","North America","America/New_York","15","40.779","-73.969","Mostly cloudy","true","12.2","54","2025-04-27T11:12:00-04:00"
"Kabul","Afghanistan","Asia","Asia/Kabul","20","34.531","69.137","Clear","false","20","68","2025-04-27T19:47:00+04:30"
"Buenos Aires","Argentina","South America","America/Argentina/Buenos_Aires","20","-34.608","-58.437","Sunny","true","20","68","2025-04-27T12:20:00-03:00"
"Havana","Cuba","Central America","America/Havana","20","23.117","-82.389","Partly sunny","true","26.9","80","2025-04-27T11:20:00-04:00"
"Paris","France","Europe","Europe/Paris","20","48.857","2.351","Mostly cloudy","true","21.5","71","2025-04-27T17:21:00+02:00"
"Tehran","Iran","Middle East","Asia/Tehran","20","35.701","51.407","Thundershower","false","18.9","66","2025-04-27T18:51:00+03:30"
"Manila","Philippines","Asia","Asia/Manila","20","14.59","120.982","Clear","false","28.4","83","2025-04-27T23:20:00+08:00"
"Belgrade","Serbia","Europe","Europe/Belgrade","20","44.817","20.464","Partly sunny","true","16.9","62","2025-04-27T17:21:00+02:00"
"Dakar","Senegal","Africa","Africa/Dakar","20","14.687","-17.452","Sunny","true","26.1","79","2025-04-27T15:20:00+00:00"
"Taipei City","Taiwan","Asia","Asia/Taipei","20","25.048","121.514","Overcast","false","22.2","72","2025-04-27T23:12:00+08:00"
"Cape Town","South Africa","Africa","Africa/Johannesburg","20","-33.979","18.482","Mostly sunny","true","22.8","73","2025-04-27T17:20:00+02:00"
"São Paulo","Brazil","South America","America/Sao_Paulo","21","-23.567","-46.57","Mostly cloudy","true","26.6","80","2025-04-27T12:10:00-03:00"
"Toronto","Canada","North America","America/Toronto","21","43.649","-79.38","Sunny","true","13.9","57","2025-04-27T11:22:00-04:00"
"Osaka-shi","Japan","Asia","Asia/Tokyo","21","34.667","135.5","Cloudy","false","19.1","66","2025-04-28T00:21:00+09:00"
"Jerusalem","Israel","Middle East","Asia/Jerusalem","30","31.774","35.225","Mostly sunny","true","18.4","65","2025-04-27T18:27:00+03:00"
"Amsterdam","Netherlands","Europe","Europe/Amsterdam","30","52.372","4.9","Sunny","true","18.9","66","2025-04-27T17:21:00+02:00"
"Stockholm","Sweden","Europe","Europe/Stockholm","30","59.314","18.069","Cloudy","true","12.9","55","2025-04-27T17:21:00+02:00"
"Honolulu","United States","North America","Pacific/Honolulu","31","21.326","-157.845","Partly cloudy","false","22.6","73","2025-04-27T05:17:00-10:00"
"Reykjavik","Iceland","Arctic","Atlantic/Reykjavik","40","64.137","-21.902","Mostly cloudy","true","10","50","2025-04-27T15:21:00+00:00"
